unrar 1:7.3.1-1
unzip 6.0-23
upower 1.91.4-1
usb_modeswitch 2.6.2.20251207-1
usbutils 019-1
uwsm 0.27.0-1
vesktop 1.6.7-1
vim 9.2.1046-1
vlc 3.0.23_2-16
vlc-plugins-all 3.0.23_2-16
vulkan-intel 3:26.2.3-1
waybar 0.15.0-3
wev 1.1.0-1
wget 1.25.0-6
which 2.25-1
wireplumber 0.5.17-1
wl-clipboard 1:2.3.0-1
woff2-font-awesome 7.3.1-1
wofi 1.5.3-1
wpa_supplicant 2:2.12-1
xdg-desktop-portal 1.22.1-2
xdg-desktop-portal-hyprland 1.4.1-2
xdg-user-dirs 0.20-1
xdg-utils 1.2.1-2
xfsprogs 7.2.0-1
xl2tpd 1.3.20-1
xorg-xwayland 24.1.13-1
yt-dlp 2026.08.19-1
ytmdesktop 2.0.12-1
